title ,price ,image ,description
"Kia Morning 2 поколение Хетчбэк , 2017",9950$ ,https://i.cars.kg/preview/r/Xq2kKX2CrOmgwk3YVW_8oQ/1080x-/20231117/c461eea0b816143487aceb018689a8ef.jpeg,"Хэтчбек, мокрый асфальт, 1.0 л., левый руль, бензин, автомат, передний,"
"Toyota RAV4 3 поколение [2-й рестайлинг] Кроссовер , 2013",19500$ ,https://i.cars.kg/preview/r/6CZvUbis8_I5TZSobiOHbQ/1080x-/20231204/2bd2f79bb53c20ae31b308358a72ada4.jpeg,"Кроссовер, белый, 2.4 л., левый руль, бензин, автомат, постоянный полный,"
"Toyota Prius 3 поколение [рестайлинг] Хетчбэк , 2011",14000$ ,https://i.cars.kg/preview/r/1jtgERVQmxo4fenunALECw/1080x-/20231211/a903ad258bd0d63e9467aa6369e695b0.jpeg,"Хэтчбек, голубой, 1.8 л., левый руль, гибрид, автомат, передний,"
"Honda Fit 2 поколение RS хетчбэк 5-дв. , 2010",6000$ ,https://i.cars.kg/preview/r/EFhgQD0MPZ994rwxAugdCQ/1080x-/20231211/97791f1ffd7ca8ae99a99bab7154c034.jpeg,"Хэтчбек, серый, 1.5 л., правый руль, бензин, автомат, передний,"
"Toyota Camry XV50 [рестайлинг] , 2017",16000$ ,https://i.cars.kg/preview/r/wfBosKgVw7OfoBJn2ebjwg/1080x-/20231115/7515ec65142e0cd0a8e037192a9c6a93.jpg,"Седан, черный, 2.5 л., левый руль, бензин, автомат, передний,"
"Hyundai Starex , 2018",27200$ ,https://i.cars.kg/preview/r/KSETTUdRDqGqVDntfcpEzA/1080x-/20230916/bbd418178d42526b68bfbce444e9c544.jpg,"Минивэн / Бус, серый, левый руль, дизель, автомат, полный подключаемый,"
"Kia Morning , 2017",8800$ ,https://i.cars.kg/preview/r/3u5MT8DLpd933TMoF3GZ_g/1080x-/20231004/b066fd5897b22070288030a905b8f0fe.jpg,"Хэтчбек, красный, 1.0 л., левый руль, газ, автомат,"
"Toyota Camry , 2018",19000$ ,https://i.cars.kg/preview/r/CZ-1i0fD65olwr4ExM2Kig/1080x-/20231115/451d0bdebd6c24c9e820b1c08bef02c1.jpeg,"Седан, серебряный, 2.5 л., левый руль, бензин, автомат, задний,"
"Hyundai Sonata , 2018",18$ ,https://i.cars.kg/preview/r/nmXRDpG6Rc25DUta5WJPlw/1080x-/20231115/a624045a3068387bc93551c8f7617587.jpg,"Седан, серый, 2.0 л., левый руль, газ, автомат, задний,"
"Mazda 626 GF Хетчбэк , 1997",5038$ ,https://i.cars.kg/preview/r/i_a1fU-KM4AhrWW1gphmBg/1080x-/20231204/4124ab2d411232a8811ecfec24932f43.jpg,"Хэтчбек, темно-синий, 2 л., левый руль, бензин, механика, передний,"
"Lexus ES 5 поколение [рестайлинг] Седан , 2010",17200$ ,https://i.cars.kg/preview/r/_BR8gs2VUM5cweFMlt1JVA/1080x-/20231112/d9305d08ee8d8b05b61369264ee24c20.jpeg,"Седан, серебряный, 3.5 л., левый руль, бензин, автомат, передний,"
"Lexus ES 6 поколение Седан , 2013",21500$ ,https://i.cars.kg/preview/r/r7dng87clS6EE1L8bdYexA/1080x-/20231112/87242722e47fea35283bc4835e422e0c.jpeg,"Седан, серебряный, 2.5 л., левый руль, гибрид, вариатор, передний,"
"Honda Accord 7 поколение Седан , 2005",8400$ ,https://i.cars.kg/preview/r/zOoBbgFHAmTadJ1ciLGd4A/1080x-/20231211/cdd3b978a80f9ab1130f7d3119963af8.jpeg,"Седан,"
"Toyota Mark II X100 Седан , 1996",5000$ ,https://i.cars.kg/preview/r/exjB-UULfmelfb9Rs4X2kg/1080x-/20231210/78d72f73bbbdcb4d61b90d3d9e382575.jpg,"Седан, белый жемчуг, 2 л., правый руль, бензин, автомат, задний,"
"Mitsubishi Galant 8 поколение Седан , 2001",3918$ ,https://i.cars.kg/preview/r/YpTFElJ8-ffRzgXiw2v-8Q/1080x-/20231211/8f3fbbed446dac04f156ade7fb2eff68.jpg,"Седан, серебряный, 2.4 л., левый руль, бензин, автомат, постоянный полный,"
"Kia Rio 3 поколение Седан 4-дв. , 2015",9400$ ,https://i.cars.kg/preview/r/ButMeypNhTcSqszkLk6gPQ/1080x-/20231121/3e4f99d20b569849cb9cf41f3f08bd70.jpeg,"Седан, мокрый асфальт, 1.4 л., левый руль, бензин, автомат, передний,"
"Lexus GX 2 поколение [рестайлинг] Внедорожник , 2014",45500$ ,https://i.cars.kg/preview/r/hV5u8xQ92ua5rY36Hu3Y1Q/1080x-/20231123/a5570b7b652ade61d185f18e9f6a678a.jpeg,"Внедорожник / Пикап, белый, 4.6 л., левый руль, бензин, автомат, постоянный полный,"
"Hyundai Santa Fe DM Grand кроссовер 5-дв. , 2016",22000$ ,https://i.cars.kg/preview/r/SOIPCKeLgwF4xtuBx6qZXg/1080x-/20231124/4cadbe53b489af95b035e3206c2ab848.jpeg,"Кроссовер, темно-синий, 2.2 л., левый руль, дизель, автомат, полный подключаемый,"
"Toyota RAV4 , 2021",22861$ ,https://i.cars.kg/preview/r/gyzTumjq-dVxhlILB-3rug/1080x-/20231210/2b80af395091a8734c2aa9c3a13cf6bd.png,"Внедорожник / Пикап, черный, 2.5 л., левый руль, бензин, автомат, постоянный полный,"
"Toyota Camry , 2023",20880$ ,https://i.cars.kg/preview/r/WUGa936kq1P438gl8yRw-w/1080x-/20231210/aa425e5b8be46aab0208ff2955432f7c.png,"Седан, черный, 2.5 л., левый руль, бензин, автомат, постоянный полный,"
,,,
,,,
,,,
,,,
,,,
,,,
